Airport name,DST,IATA,ICAO,Location served,Time
Columbia Regional Airport,Mar-Nov,COU,KCOU,"Columbia, Missouri, United States",UTC−06:00
Coquimbo Airport,Aug-May,COW,SCQB,"Coquimbo, Chile",UTC−04:00
Coolawanyah Station Airport,,COY,YCWY,"Coolawanyah Station, Western Australia, Australia",UTC+08:00
Constanza Airport,,COZ,MDCZ,"Constanza, Dominican Republic",UTC−04:00
Cape Palmas Airport,,CPA,GLCP,"Harper, Liberia",UTC±00:00
Capurganá Airport,,CPB,SKCA,"Capurganá, Colombia",UTC−05:00
Aviador Carlos Campos Airport,,CPC,SAZY,"San Martín de los Andes, Neuquén, Argentina",UTC−03:00
Coober Pedy Airport,Oct-Apr,CPD,YCBP,"Coober Pedy, South Australia, Australia",UTC+09:30
Ing. Alberto Acuña Ongay International Airport,Apr-Oct,CPE,MMCP,"Campeche, Campeche, Mexico",UTC−06:00
Ngloram Airport,,CPF,WARC,"Cepu, Indonesia",UTC+07:00
Carmen de Patagones Airport,,CPG,,"Carmen de Patagones, Buenos Aires, Argentina",UTC−03:00
"Copenhagen Airport, Kastrup",Mar-Oct,CPH,EKCH,"Copenhagen, Denmark",UTC+01:00
Cape Orford Airport[1],,CPI,,"Cape Orford, Papua New Guinea",UTC+10:00
General Navas Pardo Airport,,CPL,SKHA,"Chaparral, Colombia",UTC−05:00
Compton/Woodley Airport,Mar-Nov,CPM,KCPM,"Compton, California, United States",UTC−08:00
Cape Rodney Airport,,CPN,,"Cape Rodney, Papua New Guinea",UTC+10:00
Desierto de Atacama Airport,Aug-May,CPO,SCAT,"Copiapó, Chile",UTC−04:00
Casper–Natrona County International Airport,Mar-Nov,CPR,KCPR,"Casper, Wyoming, United States",UTC−07:00
St. Louis Downtown Airport,Mar-Nov,CPS,KCPS,"Cahokia (near St. Louis/MO), Illinois, United States",UTC−06:00
Cape Town International Airport,,CPT,FACT,"Cape Town, South Africa",UTC+02:00
Cururupu Airport,,CPU,,"Cururupu, Maranhão, Brazil",UTC−03:00
Campina Grande Airport (Presidente João Suassuna Airport),,CPV,SBKG,"Campina Grande, Paraíba, Brazil",UTC−03:00
